epoch,qual_obs_rmse,qual_obs_corrcoef,qual_obs_coefdet,qual_site_rmse,qual_site_corrcoef,qual_site_coefdet,qual_anomaly_rmse,qual_anomaly_corrcoef,qual_anomaly_coefdet,poor_obs_rmse,poor_obs_corrcoef,poor_obs_coefdet,poor_site_rmse,poor_site_corrcoef,poor_site_coefdet,poor_anomaly_rmse,poor_anomaly_corrcoef,poor_anomaly_coefdet
1,44.3032153539389,0.1588538077329984,-0.0884771364813994,34.44897075709797,0.072151052970702,-38.270865372488906,32.9652238887504,0.2214337876198137,-41.95686253088998,44.215695429494374,0.1146886317431387,-0.1400181310075641,35.30891691954425,0.0372439934624197,-42.08788988384461,32.42472864223952,0.200553641591247,-42.75769944267162
2,41.35377446697057,0.2726080622139761,0.0516271175887227,30.304547148005856,0.2557341887041771,-37.38739053554304,32.98121777573596,0.2369935785162505,-63.56197714214734,40.76721499370535,0.225443056993549,0.0308724810390612,31.54533653253229,0.1638990188491957,-40.27756988595472,32.44485976764279,0.2115959355621161,-66.4493900896294
3,45.28171412771257,0.3019603354293899,-0.1370892003120511,35.88403074038878,0.2803510707976921,-49.41975039711478,32.84567569265343,0.274842706670912,-67.92231436316249,45.17861151448004,0.252589598716702,-0.1902127476332686,36.79822088383866,0.1811849918811544,-52.22654447681953,32.298613472002486,0.2521349379045491,-70.30828122104428
4,41.22402846368261,0.33997212564069645,0.05756875478981127,30.610699263561465,0.30223851759694087,-29.95761941403616,32.5377808737109,0.33422197176195867,-57.447812488278764,40.73867626404697,0.294378601596392,0.03222886447211648,31.747384215154796,0.21978189707163653,-33.646351428301614,32.021883442157005,0.3059938991277669,-58.06200423320569
